sentiment,content,sentiment_type
2,qampa googles amp bings ranking session mon 30pm link,positive
3,apps keep grooving link,no sentiment
2,line ipad link,positive
3,nice find rsqs link,no sentiment
2,true rt best hungry tip mekong river great vietnamese link th st till pm via,positive
2,google get social texas link,positive
2,wanted know spec parsing ajax links link,positive
2,happy pi day google doesnt launch circles pi day doesnt exist,positive
2,social hackathon session google bing webtrends chzbrgr going figure mplsst paul,positive
2,looks like may able fork cash new link,positive
3,love quotapple comes cool technology ones ever heard dont go conferencesquot,no sentiment
2,readwriteweb reporting google might launch new social network today link,positive
2,marissa meyer demoing google augmented reality link,positive
2,rumor apple opening temporary store downtown austin ipad launch,positive
2,win ipad panel link today cc,positive
2,mscpage guy gets tattoo sxsw could win free ipad2 link link,positive
3,left tradeshow demo google theatre ok get see presenters using,no sentiment
3,comes ladies rt ill austin convention center w showing iphone game,no sentiment
2,sees facebook google competition via,positive
1,ahhh darn rt according google confirmed launching,negative
3,wowltlt google launch major new social network called circles possibly today link,no sentiment
2,apple selling ipad california great building cult followings link,positive
3,even begins apple wins link via,no sentiment
3,threw together keep ipad attempt keep hours stuff weekend link,no sentiment
2,platform concertgoers launches time link via,positive
2,itunes sampler featuring selection years performers link,positive
3,win awesome ipad quibids custom case catch wearing openbeta vip badge,no sentiment
3,rt lose hour tonight attendees blame microsoft apple get credit fixing christmas,no sentiment
2,st injury bicycle stupid concrete ouch link fortunately still able type iphone schedule,positive
3,beluga iphone app highlight excellent way coordinate relief effort,no sentiment
3,bored try iphone app link,no sentiment
2,thanks making great productsgreat making party podcasts link,positive
3,third time charmgtgtgt launch new social network cnet news link,no sentiment
2,ten percent crowd quotesigning ipad interfacesquot already ipad2,positive
2,aight heres wed thurs list possibilities link hope see twitter buds atx week,positive
2,anyone know android devs let know theres startup need help,positive
2,ha rt rumor apple opening temporary store downtown austin amp ipad launch link,positive
1,classiest fascist company existence kara swisher,negative
3,abt surprise customer waiting line apple store austin awesome,no sentiment
1,temp apple store th st austin closed night quottheyre stuff says austin cops barring door,negative
3,enter contest maybe win ipad,no sentiment
2,apptastic link,positive
2,google places one check need checkin aggregator,positive
3,ill use ipad someone gives otherwise iphone actually task,no sentiment
2,google launch major new social network called circles possibly today link,positive
3,love alt universe everyone uses apple products fastest way reach someone,no sentiment
2,google announces checkins sxsw locationbased geofencing applications link,positive
3,hope may someday keynote swsx rt bored keynote ipad link,no sentiment
3,grab new android camera raises 11m valley players via,no sentiment
2,meet guy bought first popupstore link via,positive
3,less hours announce details ipad giveaway,no sentiment
3,love google analytics thanks followers took time check new post,no sentiment
2,come party w google tonight link bands food art ice cream nifty interactive maps,positive
2,google collecting data types requests theyve receiving governments globally,positive
3,forget disneyland apple popup store austin happiest place earth,no sentiment
3,google previews updated blogger interface link,no sentiment
2,quotthe shape city expandcontract real time dataquot google developer encourages audience google quotmapping japanquot,positive
2,takin test drive n c holds packed downtown,positive
2,enjoying resurgence ill austin convention center today w fam showing new iphone game,positive
2,help decide panel go next future social photography google doodles burning man pacman beyond,positive
2,google launch major new social network called circles,positive
2,someone going ask bing copying googles search results,positive
2,google recreated code pacman doodle original bugs included,positive
3,nice iphone app behaving today crashes yesterday ridiculous,no sentiment
3,checking ipad popup store apple store sxsw w others link,no sentiment
2,apple store downtown austin open til midnight,positive
2,rocks casbah digital rights link,positive
2,expect mob scenes w th st amp congress link,positive
3,even begins apple wins link gt gonna get sum via,no sentiment
3,bout time rt new app store includes uberguide sponsored cont link,no sentiment
2,tristan h apture fast amp iterative w news content means google finds first,positive
2,added linkedin hootsuite mobile updates iphone blackberry amp android link,positive
2,want win ticket 1 party rules simple link android unite android news masses,positive
3,oki seen two impressive lines since im one apple store yesterday amp party cc,no sentiment
3,two ipad observations vast majority people using seen lots today looks nice,no sentiment
2,says feels sexier uses product influence,positive
3,usa today ipad makes good use digital shortcuts still looking like newspaper,no sentiment
2,took days unplugged visit family anyone highlights google reader bursting seams,positive
1,compiling list one google doc taking lot longer thought many parties many good musicians,negative
3,vs vs things heating quotgoogle offers checkin rewards amp titlesquot link,no sentiment
3,ipad purchased sunny tan square far good,no sentiment
3,grateful aclugoogle earplugs right,no sentiment
2,headed want sharegather contact info link turn iphone link,positive
2,line forming popup apple store sign apple yet link,positive
3,gt rt new app store includes uberguide cont link,no sentiment
3,smart ipad app link may leave vuvuzela home,no sentiment
2,google heat map global searches link,positive
1,slides talk quotipad design headaches quot link really interesting designers well,negative
3,anyone know store still ipad stock,no sentiment
2,arrived issue hasnt resolved dying use iphone app cant login rt,positive
2,watching covering ipad launch live apple popup store austin link,positive
2,live unboxing front apple store video link,positive
3,picture link,no sentiment
3,marissa mayer google connect digital amp physical worlds mobile link,no sentiment
2,quotwe getting feedback groups amp pushed android fix grilled cheese stand yesterdayquot,positive
2,google launch social network today,positive
2,google launch major new social network called circles possibly today link,positive
2,engaging filter iphoneipod twitter app,positive
2,apple open pop temporary store ipad launch link via,positive
2,check route link rsvp gt,positive
3,saw lax im heading wife iphone ipad download app,no sentiment
3,white gig wifi available popup store right wait,no sentiment
2,rumors could true google launching secret new social network called quotcirclesquot link,positive
2,lounge recharge coffee h2o ipad art showfree daily e th congress austin details link,positive
3,ipad sold went new buyers report link,no sentiment
2,dl app get casa free mobile app available itunes app store amp android market see u,positive
2,apple opening popup store austin link via,positive
2,play gun bros xperia play google league event parking lot event sunday,positive
3,knew plied beer stogies last night id weasel way team android party tonight,no sentiment
1,put ipad idiot,negative
2,folk looking ipad popup apple store still stock colleague picked one,positive
2,contests juan winning last commuter case 50 gift cards left,positive
3,someone started group google groups pre great idea,no sentiment
2,guy kawasaki former apple evangelist wanw,positive
3,kind funnysad ipad release line longer party lines saw last night,no sentiment
2,dont forget come startups acc abc 30,positive
2,stuck inthat long line apple store come check us next block across driskill,positive
2,record experience iphonelink,positive
2,radio looking new bands radio show listen link link pls rt,positive
3,rt find hottest spots w hot spots app link iphone link,no sentiment
2,hello gigantic line outside google v bing seo session,positive
2,hey im line,positive
2,listening official mixtape link,positive
2,gsdampm googlesitting tree link,positive
2,lined apple pop store,positive
3,softlayer blog softlayer server challenge video link tried yet ipad could,no sentiment
2,success blah panel found open outlet charge old ipad,positive
2,google launch major new social network called circles possibly today updated link,positive
3,looking forward hearing googles present today,no sentiment
3,quotmg im gonna miss panels standing line panel playing new ipad itll worth quot,no sentiment
2,interview w marissa mayer google working larry different working eric link,positive
3,wow shakespeares pub th st heres delete button iphone video camera,no sentiment
2,pepsi max marketing street team shown popup apple store line handing drinks amp tshirts link,positive
2,hiring marketers designers creatives social media pros come see booth trade show might win ipad,positive
2,folks pretty koolaiddrinking bunch think android tablets hardcore linux nerds let know,positive
2,line outside apple pop store sixth amp congress,positive
3,genius move apple open temp store downtown austin link via,no sentiment
3,blogger due update google takes action showcase new design link,no sentiment
3,shouts ladies holding ipad free shows take photos sipping free beer cc,no sentiment
2,youre meet author host android devs sat 30pm hilton room ab,positive
1,marissa mayer google maps better customer service quicker responses,negative
2,listening discuss new interaction paradigms designing ipad,positive
2,im sure link double rainbow kind day right,positive
2,heading austin austin guide iphone free limited time link,positive
2,recounts batshit insanity doubling quotcreativityquot ensures quotnt suckquot google michaels room groupon,positive
1,midday iphone midbattery outlet blocked immobile booth serves purpose taunt link,negative
3,formula successful day sxsw good sessions ipad glass macallan single malt link,no sentiment
3,sxsw apple schools marketing experts link via,no sentiment
3,hey roll tractor trailer full ipads bet would sell entire inventory,no sentiment
3,shocked see google showcasing blogger thought completely forgot service,no sentiment
2,anyone attending google amp aclu party sxsw could plz pictures thanks,positive
3,waiting line ipad said may leftcrossing fingers,no sentiment
2,time nfc enabled google places door sticker link,positive
2,ipad thing addition place print cuts bs panel,positive
2,conf every people mac ipad including happened pc becoming obsolete,positive
2,david carr nyt austin giving drunken interview cnn wants app transport around nyc sits ipad,positive
3,damn apple knows like even begins apple winssxsw link via,no sentiment
3,go without saying google bread going amazing,no sentiment
2,tradeshow floor engage w multitouch interactive wall take part augmented reality enter win ipad,positive
2,every outlet bar iphone charger driskill hotel bar w others pic link,positive
3,google saving users years time gps navigation using alternate routes w traffic,no sentiment
3,get hot latest version whrrl available today android iphone blackberry whrrl blackberry,no sentiment
2,people think rumored quotcial networkingquot program called late game,positive
2,popup store de gadgets da apple link,positive
2,link marissa mayer google maps usage mobile million link,positive
3,google art project like street view except art museums around world incl billion pixel image starry night dang,no sentiment
3,g sketchy austin yet still works iphone dont know sure need love,no sentiment
2,hootsuite mobile updates iphone blackberry amp android link,positive
1,official people using ipad take photos look weird,negative
2,ipad2s left apple store anyone know,positive
3,great blog latest news like opening store link,no sentiment
3,shut rt rumor apple opening temp store downtown austin amp ipad launch link,no sentiment
2,flipboards next platform iphone ceo says,positive
2,wanna 6quot chinese dude bff bring effen iphone charger,positive
3,interesting rt apple open popup shop sxsw link,no sentiment
3,check link cool geolocation app mixing music parties im going next year,no sentiment
2,price point 4999 make even explosion carriers work plans,positive
3,google launch major new social network called circles possibly today link,no sentiment
2,apple sets temporary austin store serve hordes ipad purchasers link,positive
3,kinda giddy amp finally fun comes us non,no sentiment
2,reason keep parakeets employed link keep track ladies link,positive
2,apple popup store apple store sxsw link,positive
2,wonder places hotpot impact usage things like,positive
2,quote day ipad interface design quotif relatable discoverablequot,positive
2,google doodles aim bring people together socially promote communal experience,positive
3,playing quoteople peoplequot google party depeche mode ftw,no sentiment
3,awesome free iphone app keeping track friends meeting finding people link,no sentiment
2,rt tweet register exclusive passes events parties ipad liberty andor free,positive
2,google circles new social networking platform link new facebook,positive
3,lots google efforts helping japan many global issues rt rt wtf wpeople,no sentiment
2,line google bing pagerank session,positive
3,porting everything new ipad2 head sunday syncing k songs takes,no sentiment
3,attending tv new media formula success seeing lot ipad around,no sentiment
2,arrived early get prime seats presentation googles marissa mayer kek,positive
2,know lightbox android app,positive
2,google launch major new social network called circles possibly today link via,positive
1,walked past supposed temp store downstairs apple cult outside taking photos iphones,negative
2,google launching secret new social network called quotcirclesquot,positive
2,night ending fireside pictionary w ipad,positive
3,sounds like buzz rebranded wan inner circle rt google launch new social network quotcirclesquot link,no sentiment
2,google launch major new social network called circles possibly today link quot,positive
2,droid surprised rt spotted table three people phones ipad macbook,positive
1,tomorrow go back apple store sigh,negative
2,media circus guy walks apples popup store st austin th amp congress link,positive
2,google launch major new social network called circles possibly today sxsw link,positive
2,happy womans day make love fuss link,positive
3,google launch major new social network called circles possibly today link,no sentiment
2,takes video link,positive
1,get badge find food drink figure iphone roaming unpack priorities,negative
3,partying lustre pearl link,no sentiment
1,ipad store sold everything except gig wifi white,negative
3,love quotapple comes cool technology ones ever heard dont go conferencesquot,no sentiment
3,quotgoogle tweetquot new quotthink speakquot mark belinsky panel,no sentiment
3,interesting tidbit apple designed ipad case designing actual device,no sentiment
2,heres link free download meet nearby peps,positive
2,looking cool new twitter app track action week check link,positive
2,googles marissa mayer quotthe mobile phone cursor connects physical digital worldsquot,positive
2,giving added value location based services needs battle checkin fatigue,positive
2,google reveal new social network called circles link via,positive
3,buying new ipads,no sentiment
2,apple opens shop link via,positive
2,ipad rivals stack link,positive
2,someone austin let borrow iphone charger short time heart long time,positive
3,google quotroduct gatekeeperquot marissa mayer locationbased quotfast fun futurequot link ht,no sentiment
2,per rumor google may preview big social strategy 80sthemed costume party yep link,positive
2,instagram photo iamtimbaker googles party link,positive
2,checking qampa google amp bing website ranking,positive
2,gearing make splash launch quotgroupon living socialtypequot rewards link,positive
3,even security guard popup apple store austin loves new ipad link,no sentiment
2,epic theres one guy waiting line ipad austin sxsw link,positive
2,finally picture rt apple open popup shop sxsw report link,positive
2,seems holding well surprisingly big event,positive
1,looking forward delicious tmobile g austin iphone users struggle anything,negative
2,anyone need iphone cable extras tweet,positive
2,one lone dude awaits ipad apples sxsw store link,positive
2,use questionanswer askreceive kind model ipad app design give take entice ask,positive
2,skore gt heard apples popup store downtown austin pics already gowalla link,positive
2,via smackdown bloody banality link,positive
3,nd place fandango karaoke st prize yr fandango tkts useless canada nd prize useful ipad,no sentiment
2,line crazy long apple store,positive
2,art view daily free coffee idevice recharging austin details link,positive
2,mashable talk line takers many spent better part link,positive
3,im headed hear talk integrated social network dynamics team synergy ive got ipad ready go,no sentiment
2,id love google said quotwhy want knowquot,positive
2,apple congress nice rt apple set open popup shop core sxsw action link,positive
2,google launch new social network circles linking u closely peeps u connect wmost possibly today,positive
2,startups talking captive audience apple store line smart idea arent,positive
2,ever seen someone pay guy wait line apple device yeah,positive
2,googles marissa mayer demoing quotcontextual discoveryquot using history time search refine results,positive
2,wonder many sold ipad sold went new buyers report link,positive
3,unloaded popup store awesome link,no sentiment
3,hey exhibitors capture booth experience retrollect disc popular disc wins ipad link,no sentiment
3,speaking store th congress wouldnt great permanent,no sentiment
3,say pretty smart timing drop right top nearly anyones talking,no sentiment
3,apple opening temporary store downtown austin march accommodate attendees god fucking smart,no sentiment
3,ha rt quotapple comes cool technology ones ever heard dont go conferencesquot,no sentiment
1,open popup shop sxsw link ltcool concept wouldnt spend waiting,negative
3,pretty excited apple pop store coming link,no sentiment
1,trying convince watch launch google social network didnt know going comedy,negative
2,next heading designing ipad apps baby boomers wish apps dont yet tg,positive
3,google doodles simple surface complex intricate underneath,no sentiment
2,hours later retreat back hotel bushwhacked ringo deathstarrd never seen many effects pedals link,positive
3,need ipad iphone laptop dictaphone vidcamera wow love meet real cerebellum charged people,no sentiment
2,egads guysget ahold yourselvesseems like lot men ballroomd crush really google,positive
1,ipad design headaches josh clark link,negative
3,quotapple comes cool technology ones ever heard dont go conferencesquot,no sentiment
2,kawasaki quotagemaker saved applequot oh days,positive
3,google hotpot new app lets people rate guess logical business progression,no sentiment
2,going able get content back sure heard right,positive
3,qrafter better paid free qr code apps scan also download,no sentiment
2,qampa googles amp bings ranking mon 30pm link,positive
2,wonder ill get kicked iphone ipod ipad ianything,positive
2,fyi past u op met citeren quot google launching products link,positive
2,computer droid rt confession using laptop ipad blackberry follow afar see,positive
2,may man without iphone,positive
1,tweeting pretty non existent today thanks iphone app hootsuite epic replacement,negative
2,bahrain govt turned google earth result people learned govt turn back,positive
2,switching office ipad next session flipboard gamechanger passing fad like one,positive
2,tip day turn iphone screen brightness way,positive
2,improve website rankings advice google bing poynter link,positive
2,thought point ipad carrying around,positive
2,believe went aussies rt ipad sold went new buyers report link,positive
2,ok come building custom maps google maps night organize party itineraries,positive
2,awesome meet standing apple queue yesterday day,positive
3,iphone ipad mac oh,no sentiment
2,ampt giving away amazing prizesiphone android kindle tabletsamazing happening sheraton,positive
2,goals day knock government talks install android sdk amp pray workshop,positive
2,knew would happen ipad launched actually really funny irl link,positive
2,arriving us wednesday looking microsim using data iphone anyone know options,positive
3,users drive b miles year google maps navigation jr,no sentiment
2,best thing ive heard wknd quotgave ipad relief dont need ipad quot,positive
2,line around block popup apple store apple store sxsw link,positive
2,following binggoogle seo session buddy,positive
2,free tracks itunes featured artists link via,positive
2,sweet siren call party starting downstairs wrapping work desk help obiwan youre hope,positive
2,checking qampa google amp bing website ranking,positive
2,dispatches front lines link,positive
3,spread word festival explorer app live free link,no sentiment
2,rumor apple opening temporary store downtown austin ipad l link,positive
2,interactive googles mobile future elusive power ofhere link via,positive
2,free app festival explorer helps find bands want see based music tastes link,positive
3,cnnmoney computing device bigger ipad pass mobile space buzz link,no sentiment
3,apple genius pun intended check link,no sentiment
2,may still rt new post business cards dead send card via hashable link,positive
2,austin pal lost phone please help rt left white iphone g cab austin internet please help,positive
2,apple set open popup shop core action link ipad2 ground,positive
3,gruber keeps desk apple extended keyboard discontinued 169 loud feels like writes better,no sentiment
3,great idea behind rt amp google launching secret new social network called circles link,no sentiment
3,ooooo rumored opening temporary store link,no sentiment
2,get physical goods cut gets software virtual goods,positive
3,takes video link,no sentiment
2,google throw may last stop night,positive
2,google smentisce novit arrivo rt launching products plenty else link,positive
1,starting think like phones damn u wanted abacus,negative
2,print gt tablets gt web tablets needed bridge gap,positive
1,failure google buzz google latitude google circle seriously google needs concentrate search,negative
2,best thing abt 1 sherry patio amp plenty free parking 10 min n quotthe messquot link,positive
3,nuts rt ipad hand awesome dude gave cutsies hour line,no sentiment
1,best thing ive heard quoti gave ipad money relief dont need ipad,negative
3,im looking forward pre party wed hoping ill win resulting shameless promotion,no sentiment
2,see new texas observer ipad app 30 sheraton,positive
1,ipad design headaches interface metaphor looks like book make behave like book simple stuff often forgotten,negative
2,companies embracing nfc today google nfc window decal amp nexus nokia willinclude smartphones,positive
3,awesome rt come check get free custom iphone case grill,no sentiment
3,buying ipad2 turn ur ipad1 apple store wipes clean donates schools mrs jobs idea,no sentiment
3,day bank america launched iphone app got k new customers,no sentiment
3,saw giant line thought movie premiere apple store ipad heard screams premiere,no sentiment
2,grateful twitterstream mostly full empathy concern events ipad,positive
2,nice people going fun check,positive
0,comprando mi ipad en el apple store sxsw w others link,cannot say
2,sony area buffalo billards tweeting google tv,positive
2,iphone get go app,positive
2,45 put word quotfoodquot google maps search phoneso yeah,positive
3,adding schedule android sxsw go app handy,no sentiment
3,laptop denotes work denotes fun,no sentiment
2,akqa hiring find front designing ipad interfaces new navigation schemas ballroom,positive
1,dense una vuelta por para ver la gran diferenciart quotthe revolution clumsily translated googlequot,negative
2,get free coveragexsw app know austin youll get best cellular data connection link,positive
3,bigger iphone smaller pc good big events like meeti link,no sentiment
1,reporting janecek microsoft gives charity apple gives nothing everyone room iphone drives decision,negative
2,wifi android geeks nearby please try sharing frostwire link issued update,positive
2,going sign filmaster iphone app code quotxswquot get cool tshirt site link,positive
2,augmented reality pah mayer google calls quotcontextual discoveryquot searches without search users permission,positive
2,wonder fit ipad luggage im packing austin hmmm,positive
2,important make sure donating japanese red cross link,positive
2,ok im sxsw im garage band ipad notice,positive
2,retailers headed sxsw month check googles sxsw twitter presence,positive
2,another great spreadsheet parties link,positive
2,lightbox photos wants new android camera app sxsw techcrunch link,positive
2,industry party presented amp austin tx,positive
3,enjoying california hollywood silicon valley meets nyc sunny austin bythepool cowboy boots ipad vibe,no sentiment
2,amp becoming competitors theyre starting realize cool,positive
2,bad dont buttonrt know time abnormal amount app updates iphone,positive
2,already big winner link,positive
2,miss googles vp search marissa mayer last week listen interview link,positive
2,apple intel genentech atari ciscoquotmething venturedquot traces risk takers wrote checks link,positive
2,im happy exist going try whole trip wo laptop iphone amp ipad link,positive
2,attending designing ipad interfaces new navigation schemas akqas lynn teo ballroom yes hiring,positive
3,ive always used camera iphone bc image stabilizer mode suggestions ipad cam app w feature,no sentiment
2,free link takes store link,positive
2,rt google launch major new social network called circles possibly today link via,positive
2,rt gary starting new show quotaily grapequot,positive
2,according marissa mayer google maps usage mobile,positive
3,youtube second largest search engine globally google says,no sentiment
2,rt new app store includes uberguide sponsored cont link,positive
2,ordered ipad excited seems silly whats happening japan right,positive
2,google map search mobile acc ballroom w others link,positive
2,k views rt apple security guy locks store link,positive
3,use google maps mobile marissa mayer lt use time,no sentiment
1,dangerous iphone apps link,negative
3,bound keep eye may give away case atx land,no sentiment
3,apple opened popup store release ipad quite scene geek power link,no sentiment
1,quotthis googlebing qampa panel like worlds expensive seo consultationquot,negative
2,met three girls apple itunes connect team iphone developer meetup got talk would change itc,positive
3,setting pop shop smartest move ipad imho developers matter ipad link,no sentiment
2,quot google launch major new social network called circles possibly today link via,positive
3,ok im interested rt google launch major new social network called circles possibly today link,no sentiment
3,looking forward iphone android design sessions cant wait drink give away stuff get paid,no sentiment
2,best thing abt bad ass brunch wpatio amp plenty free parking 10 min n quotthe messquot link,positive
2,come singapore roars party th street link,positive
2,friends coming austin sxsw link,positive
2,credit card companies know years youre likely get divorce google,positive
2,google searches local information google trying fill need places hotpot services,positive
2,doesnt view final end rather tool pointing users sources make decisions,positive
3,got ipad gave red cross japan first day,no sentiment
2,brains zombies like content google quotcontent rulesquot,positive
2,think someone making lot money week iphone international roaming charges,positive
3,theres expectation engagement ipad visual social delving experience,no sentiment
2,good people covering ipad launch live apple popup store austin link,positive
2,good morning r u talking abt twitter according ipad design geogames design headaches,positive
2,mission failure dried roast beef sandwich soggy tomato 625 oh well sat chevy lounge charged iphone power mat,positive
2,qandroid webkit lags safari webkit want acceleration pervasive,positive
2,rumor apple opening temporary store dt austin amp ipad launch link,positive
3,upside start today ipad releases,no sentiment
2,audioboo american dream bust link,positive
3,putting gun head give iphone link,no sentiment
2,brutal question served marissa mayer jc penney mapping getting rerouted macys uncomfortable,positive
2,scored signed print jules verne google doodle thanks link,positive
2,technology googles testing using stickers store windows tap get info,positive
2,interesting rt launch major new social network called circles possibly today link,positive
3,potential breakout gadgets apps amp popup store festival begins tomorrow link,no sentiment
2,hmmm rt rt google launch major new social network called circles possibly today link,positive
3,setting pop shop smartest move ipad imho developers matter ipad link,no sentiment
2,anyone know apple store still ipads likely run today,positive
2,hey austin know little love music amp wanna make 20hour please let know,positive
2,havent bought yet going check apples popup store link,positive
3,winner rt awesome got ipad link via,no sentiment
3,wanting line unconfirmed apple popup store ipad,no sentiment
2,picked backup iphone battery charger airport also got pairs shoes yesterday hello,positive
2,apple store sxsw link,positive
1,makes feel better googlewannabe fanbois acting like giggling schoolgirls front marissa mayer yday,negative
