questions,answers
itu sepertinya tidak benar,"mengingat suhunya lebih dari sembilan puluh derajat di luar, itu akan aneh."
mengingat itu lebih dari sembilan puluh derajat di luar itu akan menjadi aneh,"tepatnya, tidak akan menyenangkan jika hujan mulai turun. ini terlalu panas."
persisnya tidak akan menyenangkan jika mulai hujan itu terlalu panas,"saya tahu, anda benar sekali."
saya tahu anda benar,saya berharap itu akan mendingin suatu hari nanti.
saya berharap itu akan mendingin suatu hari nanti,"itulah yang saya rasakan, saya ingin musim dingin segera datang."
"itulah yang saya rasakan, saya ingin musim dingin segera datang","saya menikmati musim dingin, tetapi kadang-kadang cuaca menjadi sangat dingin."
saya menikmati musim dingin tetapi kadang-kadang cuaca menjadi sangat dingin,"saya tahu apa yang anda maksud, tetapi saya lebih suka kedinginan daripada panas."
aku tahu apa yang kamu maksud tapi aku lebih suka dingin daripada panas,itulah yang saya rasakan.
saya berharap hari ini lebih menyenangkan,itu benar. saya harap tidak hujan.
itu benar saya harap tidak hujan,tidak akan hujan di tengah musim panas.
tidak akan hujan di tengah musim panas,sepertinya tidak akan benar jika hujan mulai turun sekarang.
sepertinya tidak akan benar jika hujan mulai turun sekarang,akan aneh jika hujan mulai turun dalam cuaca sembilan puluh derajat.
akan aneh jika hujan mulai turun dalam cuaca sembilan puluh derajat,hujan apa pun saat ini tidak ada gunanya.
hujan apa pun saat ini tidak ada gunanya,"itu benar, itu akan benar-benar terjadi."
"itu benar, itu akan benar-benar",saya ingin mendinginkan beberapa.
saya ingin mendinginkan beberapa,"saya tahu apa yang anda maksud, saya tidak bisa menunggu sampai musim dingin."
saya tahu apa yang anda maksud saya tidak bisa menunggu sampai musim dingin,musim dingin itu bagus. saya berharap kadang-kadang tidak terlalu dingin.
"musim dingin sangat bagus, saya berharap kadang-kadang tidak terlalu dingin",saya lebih suka menghadapi musim dingin daripada musim panas.
ini hari yang menyenangkan,ya itu.
ya itu,sepertinya akan segera hujan.
sepertinya akan segera hujan,"ya, dan saya harap begitu."
ya dan saya berharap begitu,mengapa demikian?
mengapa demikian,saya sangat suka bagaimana hujan membersihkan udara.
saya sangat suka bagaimana hujan membersihkan udara,saya juga. baunya selalu segar setelah hujan.
aku juga baunya selalu segar setelah hujan,"ya, tapi saya suka udara malam setelah hujan."
ya tapi saya suka udara malam setelah hujan,betulkah? kenapa sih?
sungguh mengapa itu,karena kamu bisa melihat bintang dengan sempurna.
karena kamu bisa melihat bintang dengan sempurna,saya sangat berharap hari ini hujan.
saya sangat berharap hari ini hujan,ya saya juga.
bukankah ini hari yang menyenangkan,ini benar-benar.
ini benar-benar,sepertinya hari ini mungkin hujan.
sepertinya hari ini mungkin hujan,semoga bisa.
semoga bisa,bagaimana bisa?
bagaimana bisa,saya suka betapa cerahnya langit setelah hujan.
saya suka betapa cerahnya langit setelah hujan,aku merasakan hal yang sama. baunya sangat harum setelah hujan.
saya merasakan hal yang sama baunya sangat harum setelah hujan,saya terutama menyukai udara malam saat hujan.
saya terutama menyukai udara malam saat hujan,betulkah? mengapa?
benarkah kenapa,bintang-bintang terlihat lebih dekat setelah hujan.
bintang-bintang terlihat lebih dekat setelah hujan,saya sangat ingin hujan hari ini.
saya sangat ingin hujan hari ini,"ya, aku juga."
tidakkah menurutmu itu bagus,"ya, saya rasa juga begitu."
ya saya pikir juga begitu,saya pikir itu akan hujan.
saya pikir itu akan hujan,saya harap hujan tidak turun.
saya harap hujan tidak turun,kamu suka hujan?
kamu suka hujan,langit terlihat sangat bersih setelah hujan. aku menyukainya.
langit terlihat sangat bersih setelah hujan aku menyukainya,saya mengerti. hujan memang membuat baunya lebih bersih.
saya mengerti bahwa hujan membuat baunya lebih bersih,saya paling suka bagaimana itu pada malam hari setelah hujan.
saya paling suka bagaimana itu pada malam hari setelah hujan,bagaimana bisa?
bagaimana bisa,anda bisa melihat bintang-bintang jauh lebih jelas setelah hujan.
anda bisa melihat bintang-bintang jauh lebih jelas setelah hujan,saya akan senang jika hujan hari ini.
saya sangat ingin pergi ke pantai akhir pekan ini,itu terdengar menyenangkan. akan seperti apa cuacanya?
kedengarannya menyenangkan seperti apa cuaca nantinya,saya mendengar bahwa akhir pekan ini akan menjadi hangat.
saya mendengar bahwa akhir pekan ini akan menjadi hangat,apakah ini akan menjadi cuaca pantai yang sempurna?
apakah ini akan menjadi cuaca pantai yang sempurna,saya yakin begitu.
saya yakin begitu,baik. saya harap itu tidak mendingin akhir pekan ini.
bagus saya harap itu tidak mendingin akhir pekan ini,aku tahu. saya sangat ingin pergi ke pantai.
saya tahu saya benar-benar ingin pergi ke pantai,tetapi anda tahu bahwa cuaca california benar-benar tidak dapat diprediksi.
tetapi anda tahu bahwa cuaca california benar-benar tidak dapat diprediksi,"kamu benar. satu menit panas, dan menit berikutnya dingin."
anda benar satu menit panas dan kemudian menit berikutnya dingin,saya benar-benar berharap cuacanya akan tetap sama.
saya benar-benar berharap cuacanya akan tetap sama,saya juga. dengan cara itu kita dapat merencanakan aktivitas kita sebelumnya.
saya juga begitu sehingga kita dapat merencanakan aktivitas kita sebelumnya,"ya, itu akan membuat segalanya lebih mudah."
saya ingin melakukan perjalanan ke pantai akhir pekan ini,perjalanan ke pantai pasti menyenangkan. bagaimana cuacanya?
perjalanan ke pantai akan menyenangkan bagaimana cuacanya nanti,ramalan cuaca mengatakan bahwa akhir pekan akan hangat.
ramalan cuaca mengatakan bahwa akhir pekan akan hangat,jadi menurutmu cuaca akan menjadi cuaca yang sempurna untuk pantai?
jadi menurutmu cuaca akan menjadi cuaca yang sempurna untuk pantai,kedengarannya seperti itu.
kedengarannya seperti itu,saya sangat berharap itu tidak dingin.
saya sangat berharap ini tidak menjadi dingin,"itu akan merusak banyak hal, aku sangat ingin pergi."
itu akan merusak hal-hal yang sangat ingin saya lakukan,"cuaca di california tidak dapat diprediksi, jadi anda tidak pernah tahu."
cuaca di california tidak dapat diprediksi sehingga anda tidak pernah tahu,itu benar. cuaca terus berubah.
memang benar cuaca terus berubah,alangkah baiknya jika cuaca tidak pernah berubah.
alangkah baiknya jika cuaca tidak pernah berubah,"itu akan bagus, lalu kita bisa merencanakan sesuatu lebih cepat."
itu akan bagus sehingga kita bisa merencanakan sesuatu lebih cepat,benar. cuaca yang dapat diprediksi akan membuat hidup lebih mudah.
alangkah baiknya pergi ke pantai sekitar akhir pekan ini,akan seperti apa cuacanya? saya mungkin ingin pergi juga.
bagaimana cuacanya nanti aku mungkin ingin pergi juga,cuaca akhir pekan ini seharusnya hangat.
cuaca akhir pekan ini seharusnya hangat,apakah cuaca pantai akan bagus?
apakah cuaca pantai akan bagus,saya pikir itu akan terjadi.
saya pikir itu akan terjadi,tidak akan baik jika akhir pekan ini dingin.
tidak akan baik jika akhir pekan ini menjadi dingin,"saya ingin perjalanan ini sempurna, semoga tetap hangat."
"saya ingin perjalanan ini sempurna, semoga tetap hangat","cuaca california ini sangat tidak pasti, tidak mungkin untuk mengetahui apa yang akan terjadi."
cuaca california ini sangat tidak pasti sehingga tidak mungkin untuk mengetahui apa yang akan terjadi,aku tahu. setiap hari cuacanya tampak berbeda.
saya tahu setiap hari cuacanya tampak berbeda,saya akan senang jika tidak selalu begitu tidak terduga.
saya akan senang jika tidak selalu begitu tidak terduga,yang akan memudahkan kami membuat rencana.
halo boleh saya bicara dengan alice,ini dia. bagaimana kabarmu?
ini dia bagaimana itu terjadi,saya telah mencoba menelepon anda sepanjang hari.
aku sudah mencoba meneleponmu sepanjang hari,maaf soal itu. saya sedang membersihkan.
maaf tentang itu saya sedang membersihkan,tidak masalah.
tidak masalah,jadi apa yang kamu panggil aku tentang?
jadi apa yang kamu panggil aku tentang,"oh, aku hanya ingin melihat apakah kamu ingin nongkrong besok."
oh saya hanya ingin melihat apakah anda ingin nongkrong besok,"tentu, apa yang ingin kamu lakukan?"
yakin apa yang ingin kamu lakukan,mungkin kita bisa pergi nonton film atau semacamnya.
mungkin kita bisa pergi nonton film atau semacamnya,itu terdengar menyenangkan. ayo lakukan.
"kedengarannya menyenangkan, mari kita lakukan",sampai jumpa besok.
sampai jumpa besok,sampai jumpa. selamat tinggal.
hai apa kabar alice disana,berbicara. ada apa?
berbicara apa,kenapa kamu tidak menjawab teleponnya?
kenapa kamu tidak menjawab telepon,"saya buruk, saya punya tugas yang harus dilakukan."
"saya buruk, saya memiliki tugas yang harus dilakukan",tidak apa-apa.
tidak apa-apa,apa alasan anda menelepon?
apa alasan anda menelepon,aku ingin melakukan sesuatu besok denganmu.
aku ingin melakukan sesuatu besok denganmu,kedengarannya bagus. apa yang kamu pikirkan?
terdengar bagus apa yang ada dalam pikiran anda,saya sedang berpikir untuk melihat film.
saya sedang berpikir untuk melihat film,"oke, ayo kita nonton film."
oke ayo nonton film,sampai saat itu.
sampai saat itu,bicara denganmu nanti.
apakah alice tersedia,anda sedang berbicara dengannya.
kamu sedang berbicara dengannya,saya telah menelepon anda ratusan kali hari ini.
ive meneleponmu seratus kali hari ini,saya sedang sibuk melakukan sesuatu. saya minta maaf.
saya sedang sibuk melakukan sesuatu yang saya minta maaf,tidak masalah.
tidak masalah,apakah kamu membutuhkan sesuatu?
apakah kamu membutuhkan sesuatu,apakah kamu ingin melakukan sesuatu besok?
apakah kamu ingin melakukan sesuatu besok,apakah ada tempat khusus yang ingin kamu tuju?
apakah ada tempat khusus yang ingin anda tuju,bagaimana dengan film?
bagaimana dengan film,film terdengar bagus.
film terdengar bagus,telepon aku besok.
pernahkah kamu melihat gadis baru di sekolah,"tidak, saya belum."
"tidak, saya belum",dia sangat cantik.
dia sangat cantik,gambarkan dia padaku.
gambarkan dia padaku,dia tidak terlalu tinggi.
dia tidak terlalu tinggi,"nah, berapa tinggi dia?"
nah berapa tinggi dia,tingginya sekitar lima kaki.
tingginya sekitar lima kaki,tapi seperti apa dia?
seperti apa tampangnya,dia memiliki mata coklat muda yang cantik.
dia memiliki mata coklat muda yang cantik,saya mungkin tahu gadis mana yang anda bicarakan.
saya mungkin tahu gadis mana yang anda bicarakan,jadi kamu telah melihatnya di sekitar?
jadi anda telah melihatnya di sekitar,ya saya punya.
"ada gadis baru di sekolah, apa kau belum melihatnya",saya belum melihatnya.
saya belum melihatnya,saya pikir dia sangat cantik.
saya pikir dia sangat cantik,ceritakan bagaimana penampilannya.
ceritakan bagaimana penampilannya,dia agak pendek.
dia agak pendek,tinggi berapa dia?
berapa tinggi dia,dia mungkin sekitar lima kaki.
dia mungkin sekitar lima kaki,"itu bagus, tapi katakan padaku seperti apa dia."
itu bagus tapi katakan padaku seperti apa dia,hal pertama yang saya perhatikan adalah mata cokelatnya yang indah.
hal pertama yang saya perhatikan adalah mata cokelatnya yang indah,saya pikir saya mungkin pernah bertemu dengannya sebelumnya.
saya pikir saya mungkin pernah bertemu dengannya sebelumnya,apakah anda memberi tahu saya bahwa anda pernah melihatnya sebelumnya?
apakah anda memberi tahu saya bahwa anda pernah melihatnya sebelumnya,saya yakin begitu.
sudahkah kamu bertemu gadis baru,tidak. sudahkah kamu
tidak punya kamu,dia salah satu gadis tercantik di sekolah.
dia salah satu gadis tercantik di sekolah,dia terlihat seperti apa?
dia terlihat seperti apa,"yah, dia cukup pendek."
yah dia cukup pendek,seberapa tinggi menurutmu dia?
seberapa tinggi menurutmu dia,saya akan mengatakan dia hanya lima kaki.
saya akan mengatakan dia hanya lima kaki,bagaimana dengan fitur wajahnya?
bagaimana dengan fitur wajahnya,"dia memiliki mata coklat muda, sangat cantik."
dia memiliki mata coklat muda yang sangat indah,saya rasa saya tahu siapa yang anda bicarakan.
saya rasa saya tahu siapa yang anda bicarakan,apakah kamu pernah melihatnya?
kenapa kamu tidak di sekolah kemarin,saya merasa tidak enak badan.
aku tidak enak badan,apa yang salah denganmu?
apa yang salah denganmu,perut saya mual.
perut saya mual,apakah anda merasa lebih baik sekarang?
apakah anda merasa lebih baik sekarang,saya belum merasa terlalu sehat.
saya belum merasa terlalu sehat,apakah anda ingin sesuatu yang membuat anda merasa lebih baik?
apakah kamu ingin sesuatu yang membuatmu merasa lebih baik,"tidak, terima kasih. saya sudah minum obat."
"tidak, terima kasih saya sudah minum obat",saya harap anda merasa lebih baik.
saya harap anda merasa lebih baik,terima kasih.
alasan apa yang kamu miliki untuk bolos sekolah,saya sakit.
saya sakit,bagaimana kamu sakit?
bagaimana kamu sakit,saya sakit perut.
saya sakit perut,apakah itu menjadi lebih baik?
apakah itu menjadi lebih baik,aku masih merasa tidak enak badan.
saya masih merasa tidak enak badan,apa kamu mau sesuatu untuk perutmu?
apa kamu mau apa saja untuk perutmu,saya mengambil sesuatu sebelumnya.
saya mengambil sesuatu sebelumnya,lebih baik.
lebih baik,terima kasih banyak.
kenapa kamu tidak pergi ke sekolah kemarin,saya tinggal di rumah karena saya merasa tidak enak badan.
saya tinggal di rumah karena saya merasa tidak enak badan,apa masalahmu
apa masalahmu,perut saya mengganggu saya.
perut saya mengganggu saya,apakah kamu merasa lebih baik?
apakah kamu merasa lebih baik,aku masih merasa sedikit mual.
saya masih merasa sedikit sakit,"saya akan pergi ke toko, apakah anda mau pepto bismol?"
saya akan pergi ke toko apakah anda ingin bismol pepto,tidak apa-apa.
tidak apa-apa,saya harap anda merasa lebih baik.
apakah kamu mendengar kabar baik,"tidak, saya belum."
"tidak, saya belum",saya mendapat promosi di pekerjaan saya.
saya mendapat promosi di pekerjaan saya,benarkah kamu?
apakah kamu benar-benar,"serius, saya sangat bersemangat."
serius saya sangat bersemangat,selamat.
selamat,terima kasih.
terima kasih,saya turut berbahagia untuk anda.
saya turut berbahagia untuk anda,betulkah?
betulkah,iya. kamu benar-benar pantas mendapatkan ini.
"ya, anda benar-benar pantas mendapatkan ini",kau pikir begitu?
kau pikir begitu,iya. bagus untukmu.
apakah anda sudah mendengar kabar baik saya,kamu belum memberitahuku apa-apa.
kamu belum memberitahuku apa-apa,saya mendapat promosi di tempat kerja awal minggu ini.
saya mendapat promosi di tempat kerja awal minggu ini,apakah itu benar?
apakah itu benar,itu kebenaran. saya sangat senang.
sebenarnya aku sangat senang,selamat atas promosimu.
selamat atas promosimu,terima kasih banyak.
terima kasih banyak,saya sangat senang untuk anda.
saya sangat senang untuk anda,apakah kamu benar-benar
apakah kamu benar-benar,aku serius. anda berhak mendapatkan promosi ini.
saya serius anda pantas mendapatkan promosi ini,apakah itu yang kamu pikirkan?
itu yang sebenarnya kamu pikirkan,"ya, benar."
"aku belum memberitahumu apa yang terjadi, iya",saya belum mendengar apa-apa.
saya belum mendengar apa-apa,"bos saya menawari saya promosi, dan saya menerimanya."
bos saya menawarkan saya promosi dan saya mengambilnya,apakah kamu serius?
apakah kamu serius,"ya, saya sangat senang."
ya saya sangat senang,itu keren. selamat.
itu selamat yang luar biasa,saya menghargai itu.
saya menghargai itu,anda tidak tahu betapa bahagianya saya untuk anda.
anda tidak tahu betapa bahagianya saya untuk anda,nyata?
kamu terlihat sangat baik hari ini ,terima kasih. saya baru saja mendapatkan pakaian ini beberapa hari yang lalu.
terima kasih saya baru saja mendapatkan pakaian ini beberapa hari yang lalu,"sungguh, darimana kamu mendapatkannya?"
benar-benar dari mana kamu mendapatkannya,saya mendapatkannya dari macy's.
saya mendapatkannya dari macys,ini sangat bagus.
ini sangat bagus,terima kasih lagi. kamu juga terlihat cantik hari ini.
terima kasih sekali lagi kamu terlihat bagus hari ini juga,terima kasih. saya baru saja mendapatkan sepatu ini hari ini.
"terima kasih, saya baru saja mendapatkan sepatu ini hari ini",betulkah? jenis sepatu apa itu?
benar-benar jenis sepatu apa itu,ini disebut semua taylors chuck bintang.
ini disebut semua taylors chuck bintang,saya sangat suka itu. berapa harganya?
saya sangat suka mereka berapa biayanya,harganya sekitar empat puluh dolar.
harganya sekitar empat puluh dolar,saya pikir saya akan pergi membeli sepasang.
saya sangat menyukai apa yang anda kenakan hari ini,kamu lakukan? saya baru saja membeli pakaian ini beberapa hari yang lalu.
anda lakukan saya baru saja membeli pakaian ini beberapa hari yang lalu,"serius, itu terlihat sangat bagus untukmu. di mana anda membelinya?"
serius itu terlihat sangat bagus pada anda dari mana anda membelinya,saya membelinya dari macy di mal santa anita.
saya membelinya dari macys di mal santa anita,saya sangat suka pakaian itu.
saya sangat suka pakaian itu,terima kasih. saya pikir anda terlihat baik hari ini juga.
terima kasih saya pikir kamu terlihat bagus hari ini juga,terima kasih. saya baru saja membeli sepatu baru ini sebelumnya hari ini.
terima kasih saya baru saja membeli sepatu baru ini sebelumnya hari ini,itu bagus. apakah mereka?
itu bagus apa adanya,ini beberapa chuck.
ini beberapa chuck,itu bagus. berapa harganya?
itu bagus berapa harganya,saya mendapatkannya untuk empat puluh.
saya mendapatkannya untuk empat puluh,saya pikir saya mungkin pergi dan menemukan saya sepasang chuck saya sendiri.
saya pikir anda terlihat sangat manis hari ini,apakah itu benar? ini adalah pakaian baru.
apakah benar ini pakaian baru,dari toko mana kamu mendapatkannya?
dari toko mana kamu mendapatkannya,saya pergi ke macy's dan mengambilnya.
saya pergi ke macys dan mengambilnya,saya suka pakaian anda sekarang.
saya suka pakaian anda sekarang,"baiklah, aku pikir kamu juga terlihat cantik hari ini."
baik saya pikir anda terlihat baik hari ini juga,terima kasih. saya menemukan sepatu baru ini sebelumnya di toko.
terima kasih saya menemukan sepatu baru ini sebelumnya di toko,saya pikir itu adalah beberapa sepatu yang sangat bagus. jenis apa mereka?
"saya pikir itu adalah beberapa sepatu yang sangat bagus, apa jenisnya",ini adalah chuck.
ini adalah chuck,sepatumu terlihat sangat bagus. berapa banyak kamu mendapatkannya?
sepatumu terlihat sangat bagus dengan harga berapa kamu mendapatkannya,mereka hanya menghabiskan biaya sekitar empat puluh dolar.
beri tahu saya apa yang anda sukai di waktu luang,saya menikmati menggambar dan melukis.
saya menikmati menggambar dan melukis,anda tahu cara menggambar dan melukis?
anda tahu cara menggambar dan melukis,"ya, benar."
ya saya lakukan,kapan anda belajar bagaimana melakukan itu?
kapan anda belajar bagaimana melakukan itu,saya belajar kembali di sekolah menengah.
saya belajar kembali di sekolah menengah,"oh, jadi kamu mengambil kelas seni?"
oh jadi anda mengambil kelas seni,"ya, saya suka kelas itu."
ya saya suka kelas itu,saya melihat bahwa anda cukup berbakat.
saya melihat bahwa anda sangat berbakat,terima kasih banyak.
terima kasih banyak,saya berharap saya memiliki bakat seperti itu.
saya berharap saya memiliki bakat seperti itu,saya yakin anda memiliki bakat. itu hanya disembunyikan.
hal-hal apa yang ingin anda lakukan,saya selalu suka menggambar dan melukis.
ive selalu suka menggambar dan melukis,saya tidak tahu anda tahu cara menggambar dan melukis.
saya tidak tahu anda tahu cara menggambar dan melukis,saya melakukannya sesekali.
saya melakukannya sesekali,berapa lama anda tahu bagaimana melakukan itu?
berapa lama anda tahu bagaimana melakukan itu,saya pertama kali belajar bagaimana melakukannya di sekolah menengah.
saya pertama kali belajar bagaimana melakukannya di sekolah menengah,apakah kamu mengambil kelas seni atau semacamnya?
apakah kamu mengambil semacam kelas seni atau semacamnya,itu kelas favoritku.
itu kelas favoritku,kamu harus berbakat.
kamu harus berbakat,terima kasih.
terima kasih,kalau saja saya berbakat.
kalau saja saya berbakat,anda memiliki bakat. anda belum tahu apa itu.
apakah ada hobi yang kamu lakukan,"ketika saya punya waktu, saya terkadang menggambar dan melukis."
ketika saya punya waktu saya kadang-kadang menggambar dan melukis,"oh, kamu benar-benar melakukan itu?"
oh anda benar-benar melakukan itu,"sering sekali, ya."
sering saya lakukan,apakah kamu selalu tahu cara menggambar dan melukis?
apakah kamu selalu tahu cara menggambar dan melukis,saya diajari di sekolah menengah cara menggambar dan melukis.
saya diajari di sekolah menengah cara menggambar dan melukis,kamu punya kelas seni?
anda memiliki kelas seni,"tepatnya, itu adalah kelas favoritku."
tepatnya itu adalah kelas favoritku,"baiklah, baguslah kau begitu berbakat."
baik itu bagus bahwa kamu sangat berbakat,saya menghargai itu.
saya menghargai itu,"bakat adalah hal yang hebat, saya berharap saya memilikinya."
apa film favoritmu,film favorit saya adalah superbad.
film favorit saya adalah superbad,oh kenapa begitu
oh kenapa begitu,itu film terlucu yang pernah saya lihat.
ini adalah film terlucu yang pernah saya lihat,itu benar. itu adalah film yang sangat lucu.
itu benar film yang sangat lucu,anda pernah melihatnya sebelumnya? 
anda pernah melihatnya sebelumnya ,"ya, saya menonton film itu pada hari pertama ditayangkan di bioskop."
"ya, saya melihat film itu pada hari pertama ditayangkan di bioskop",apakah kamu tidak tertawa sepanjang film? aku melakukannya.
tidakkah kamu tertawa sepanjang film yang aku lakukan,saya juga. film itu membuat saya berlinang air mata.
saya juga film itu membuat saya berlinang air mata,milikku juga.
milikku juga,saya memilikinya di dvd di rumah saya jika anda ingin datang dan menontonnya.
saya memilikinya di dvd di rumah saya jika anda ingin datang dan menontonnya,"tentu, ayo pergi."
film mana yang menjadi favorit kamu untuk ditonton,"harus saya katakan, film favorit saya adalah superbad."
saya harus mengatakan film favorit saya adalah superbad,apakah itu benar? mengapa?
apakah itu benar mengapa,"sejujurnya, ini adalah salah satu film terlucu yang pernah saya lihat dalam waktu yang lama."
sejujurnya ini adalah salah satu film terlucu yang pernah saya lihat dalam waktu yang lama,kamu benar. film itu lucu.
anda benar bahwa film itu lucu,saya tidak berpikir anda melihat film itu.
saya tidak berpikir anda melihat film itu,saya pergi untuk melihatnya pada hari itu keluar.
saya pergi untuk melihatnya pada hari itu keluar,saya tertawa sepanjang film.
saya tertawa sepanjang film,aku juga tidak bisa menahan tawa. 
saya tidak bisa menahan tawa juga ,sama disini.
sama disini,saya membeli filmnya. maukah kamu datang ke rumah saya dan menontonnya?
"saya membeli filmnya, apakah anda ingin datang ke rumah saya dan menontonnya",tentu saja.
"dari setiap film yang pernah anda tonton, mana yang menjadi favorit anda",saya harus mengatakan bahwa superbad adalah film terbaik yang pernah ada.
saya harus mengatakan bahwa superbad adalah film terbaik yang pernah ada,"anda pikir begitu, kenapa bisa?"
anda pikir begitu kenapa,"well, superbad sangat lucu."
well superbad sangat lucu,"anda tidak berbohong, saya menemukan bahwa film itu benar-benar lucu."
"anda tidak berbohong, saya menemukan bahwa film itu benar-benar lucu",saya tidak tahu bahwa anda melihat superbad sebelumnya.
saya tidak tahu bahwa anda melihat superbad sebelumnya,saya memastikan untuk mengantre untuk melihatnya pada hari pertama keluar.
saya memastikan untuk mengantre untuk melihatnya pada hari pertama keluar,saya tidak bisa menahan tawa sepanjang film.
aku tidak bisa menahan tawa di sepanjang film,saya tertawa histeris sepanjang waktu; otot perut saya sakit sesudahnya.
saya tertawa histeris sepanjang waktu otot perut saya sakit sesudahnya,itulah yang saya rasakan.
persis seperti itulah yang saya rasakan,"saya mendapatkan filmnya ketika sudah keluar di dvd, apakah anda ingin datang?"
jenis musik apa yang suka kamu dengarkan,saya suka mendengarkan berbagai jenis musik.
saya suka mendengarkan berbagai jenis musik,seperti apa misalnya?
seperti apa misalnya,saya menikmati rock dan r & b.
saya menikmati rock dan rb,mengapa demikian?
mengapa demikian,saya suka instrumen berbeda yang mereka gunakan.
saya suka instrumen berbeda yang mereka gunakan,itu alasan yang bagus untuk menyukai sesuatu.
itu alasan yang bagus untuk menyukai sesuatu,"ya, saya pikir juga begitu."
jenis musik apa yang senang anda dengarkan,saya menikmati mendengarkan semua jenis musik.
saya menikmati mendengarkan semua jenis musik,jenis apa?
jenis apa,saya suka mendengarkan rock dan r & b.
saya suka mendengarkan rock dan rb,kenapa kamu suka jenis musik itu?
mengapa kamu menyukai jenis musik itu,saya suka jenis instrumen yang mereka gunakan.
saya suka jenis instrumen yang mereka gunakan,saya pikir itu alasan yang bagus untuk menyukai sesuatu.
saya pikir itu alasan yang bagus untuk menyukai sesuatu,"terima kasih, saya merasakan hal yang sama."
apa jenis musik favoritmu,saya mendengarkan berbagai jenis musik.
saya mendengarkan berbagai jenis musik,genre apa?
genre apa,saya menikmati mendengarkan rock dan r & b.
saya menikmati mendengarkan rock dan rb,apa yang membuatmu tertarik dengan jenis musik itu?
apa yang menarik minat anda pada jenis musik itu,saya menikmati berbagai jenis instrumen yang mereka gunakan.
saya menikmati berbagai jenis instrumen yang mereka gunakan,itulah alasan yang sempurna untuk menyukai jenis musik tertentu.
apakah kamu pergi ke pertandingan bola basket pada hari jumat,"tidak, saya tidak bisa hadir."
"tidak, saya tidak bisa membuatnya",anda melewatkan pertandingan yang sangat bagus.
anda melewatkan pertandingan yang sangat bagus,oh benarkah? siapa yang menang?
