clean_questions,clean_answer,questions,answers
ya suhu sembilan puluh derajat,mengerikan hujan panas,"ya, terutama karena suhu di luar sembilan puluh derajat.","Saya tahu, akan sangat mengerikan jika hujan dan di luar panas."
mengerikan hujan panas,ya,"Saya tahu, akan sangat mengerikan jika hujan dan di luar panas.","ya, itu akan menjadi. "
ya,benarbenar berharap panas,"ya, itu akan menjadi. ",Saya benar-benar berharap itu tidak terlalu panas setiap hari. 
benarbenar berharap panas,menunggu musim dingin,Saya benar-benar berharap itu tidak terlalu panas setiap hari. ,saya juga. saya tidak bisa menunggu sampai musim dingin.
menunggu musim dingin,suka musim dingin terkadang dingin,saya juga. saya tidak bisa menunggu sampai musim dingin.,"Saya suka musim dingin juga, tapi terkadang terlalu dingin."
suka musim dingin terkadang dingin,suka kedinginan panas,"Saya suka musim dingin juga, tapi terkadang terlalu dingin.",Saya lebih suka kedinginan daripada panas.
suka kedinginan panas,,Saya lebih suka kedinginan daripada panas.,saya juga.
bagus,pikir hujan,tidak terlihat bagus di luar hari ini.,kamu benar. saya pikir akan hujan nanti.
pikir hujan,musim panas hujan,kamu benar. saya pikir akan hujan nanti.,"di tengah musim panas, seharusnya tidak hujan."
musim panas hujan,,"di tengah musim panas, seharusnya tidak hujan.",itu sepertinya tidak benar.
,suhunya sembilan puluh derajat aneh,itu sepertinya tidak benar.,"mengingat suhunya lebih dari sembilan puluh derajat di luar, itu akan aneh."
suhunya sembilan puluh derajat aneh,tepatnya menyenangkan hujan turun panas,"mengingat suhunya lebih dari sembilan puluh derajat di luar, itu akan aneh.","tepatnya, tidak akan menyenangkan jika hujan mulai turun. ini terlalu panas."
tepatnya menyenangkan hujan turun panas,,"tepatnya, tidak akan menyenangkan jika hujan mulai turun. ini terlalu panas.","saya tahu, Anda benar sekali."
,berharap mendingin,"saya tahu, Anda benar sekali.",Saya berharap itu akan mendingin suatu hari nanti.
berharap mendingin,rasakan musim dingin,Saya berharap itu akan mendingin suatu hari nanti.,"Itulah yang saya rasakan, saya ingin musim dingin segera datang."
rasakan musim dingin,menikmati musim dingin kadangkadang cuaca dingin,"Itulah yang saya rasakan, saya ingin musim dingin segera datang.","Saya menikmati musim dingin, tetapi kadang-kadang cuaca menjadi sangat dingin."
menikmati musim dingin kadangkadang cuaca dingin,maksud suka kedinginan panas,"Saya menikmati musim dingin, tetapi kadang-kadang cuaca menjadi sangat dingin.","Saya tahu apa yang Anda maksud, tetapi saya lebih suka kedinginan daripada panas."
maksud suka kedinginan panas,rasakan,"Saya tahu apa yang Anda maksud, tetapi saya lebih suka kedinginan daripada panas.",itulah yang saya rasakan.
berharap menyenangkan,harap hujan,Saya berharap hari ini lebih menyenangkan.,itu benar. saya harap tidak hujan.
harap hujan,hujan musim panas,itu benar. saya harap tidak hujan.,tidak akan hujan di tengah musim panas.
hujan musim panas,hujan turun,tidak akan hujan di tengah musim panas.,sepertinya tidak akan benar jika hujan mulai turun sekarang.
hujan turun,aneh hujan turun cuaca sembilan puluh derajat,sepertinya tidak akan benar jika hujan mulai turun sekarang.,akan aneh jika hujan mulai turun dalam cuaca sembilan puluh derajat.
aneh hujan turun cuaca sembilan puluh derajat,hujan gunanya,akan aneh jika hujan mulai turun dalam cuaca sembilan puluh derajat.,hujan apa pun saat ini tidak ada gunanya.
hujan gunanya,benarbenar,hujan apa pun saat ini tidak ada gunanya.,"itu benar, itu akan benar-benar terjadi."
benarbenar,mendinginkan,"itu benar, itu akan benar-benar terjadi.",saya ingin mendinginkan beberapa.
mendinginkan,maksud menunggu musim dingin,saya ingin mendinginkan beberapa.,"saya tahu apa yang Anda maksud, saya tidak bisa menunggu sampai musim dingin."
maksud menunggu musim dingin,musim dingin bagus berharap kadangkadang dingin,"saya tahu apa yang Anda maksud, saya tidak bisa menunggu sampai musim dingin.",musim dingin itu bagus. Saya berharap kadang-kadang tidak terlalu dingin.
musim dingin bagus berharap kadangkadang dingin,suka menghadapi musim dingin musim panas,musim dingin itu bagus. Saya berharap kadang-kadang tidak terlalu dingin.,Saya lebih suka menghadapi musim dingin daripada musim panas.
menyenangkan,ya,ini hari yang menyenangkan.,ya itu.
ya,hujan,ya itu.,sepertinya akan segera hujan.
hujan,ya harap,sepertinya akan segera hujan.,"ya, dan saya harap begitu."
ya harap,,"ya, dan saya harap begitu.",mengapa demikian?
,suka hujan membersihkan udara,mengapa demikian?,Saya sangat suka bagaimana hujan membersihkan udara.
suka hujan membersihkan udara,baunya segar hujan,Saya sangat suka bagaimana hujan membersihkan udara.,saya juga. baunya selalu segar setelah hujan.
baunya segar hujan,ya suka udara malam hujan,saya juga. baunya selalu segar setelah hujan.,"ya, tapi saya suka udara malam setelah hujan."
ya suka udara malam hujan,sih,"ya, tapi saya suka udara malam setelah hujan.",Betulkah? kenapa sih?
sih,bintang sempurna,Betulkah? kenapa sih?,karena kamu bisa melihat bintang dengan sempurna.
bintang sempurna,berharap hujan,karena kamu bisa melihat bintang dengan sempurna.,Saya sangat berharap hari ini hujan.
berharap hujan,ya,Saya sangat berharap hari ini hujan.,ya saya juga.
menyenangkan,benarbenar,bukankah ini hari yang menyenangkan?,ini benar-benar.
benarbenar,hujan,ini benar-benar.,sepertinya hari ini mungkin hujan.
hujan,semoga,sepertinya hari ini mungkin hujan.,semoga bisa.
semoga,,semoga bisa.,bagaimana bisa?
,suka betapa cerahnya langit hujan,bagaimana bisa?,Saya suka betapa cerahnya langit setelah hujan.
suka betapa cerahnya langit hujan,merasakan baunya harum hujan,Saya suka betapa cerahnya langit setelah hujan.,aku merasakan hal yang sama. baunya sangat harum setelah hujan.
merasakan baunya harum hujan,menyukai udara malam hujan,aku merasakan hal yang sama. baunya sangat harum setelah hujan.,Saya terutama menyukai udara malam saat hujan.
menyukai udara malam hujan,,Saya terutama menyukai udara malam saat hujan.,Betulkah? Mengapa?
,bintangbintang hujan,Betulkah? Mengapa?,bintang-bintang terlihat lebih dekat setelah hujan.
bintangbintang hujan,hujan,bintang-bintang terlihat lebih dekat setelah hujan.,saya sangat ingin hujan hari ini.
hujan,ya,saya sangat ingin hujan hari ini.,"ya, aku juga."
menurutmu bagus,ya,tidakkah menurutmu itu bagus?,"ya, saya rasa juga begitu."
ya,pikir hujan,"ya, saya rasa juga begitu.",Saya pikir itu akan hujan.
pikir hujan,harap hujan turun,Saya pikir itu akan hujan.,Saya harap hujan tidak turun.
harap hujan turun,suka hujan,Saya harap hujan tidak turun.,kamu suka hujan?
suka hujan,langit bersih hujan menyukainya,kamu suka hujan?,langit terlihat sangat bersih setelah hujan. aku menyukainya.
langit bersih hujan menyukainya,mengerti hujan baunya bersih,langit terlihat sangat bersih setelah hujan. aku menyukainya.,saya mengerti. hujan memang membuat baunya lebih bersih.
mengerti hujan baunya bersih,suka malam hujan,saya mengerti. hujan memang membuat baunya lebih bersih.,Saya paling suka bagaimana itu pada malam hari setelah hujan.
suka malam hujan,,Saya paling suka bagaimana itu pada malam hari setelah hujan.,bagaimana bisa?
,bintangbintang hujan,bagaimana bisa?,Anda bisa melihat bintang-bintang jauh lebih jelas setelah hujan.
bintangbintang hujan,senang hujan,Anda bisa melihat bintang-bintang jauh lebih jelas setelah hujan.,Saya akan senang jika hujan hari ini.
pergi pantai pekan,terdengar menyenangkan cuacanya,Saya sangat ingin pergi ke pantai akhir pekan ini.,itu terdengar menyenangkan. akan seperti apa cuacanya?
terdengar menyenangkan cuacanya,mendengar pekan hangat,itu terdengar menyenangkan. akan seperti apa cuacanya?,Saya mendengar bahwa akhir pekan ini akan menjadi hangat.
mendengar pekan hangat,cuaca pantai sempurna,Saya mendengar bahwa akhir pekan ini akan menjadi hangat.,apakah ini akan menjadi cuaca pantai yang sempurna?
cuaca pantai sempurna,,apakah ini akan menjadi cuaca pantai yang sempurna?,saya yakin begitu.
,harap mendingin pekan,saya yakin begitu.,baik. Saya harap itu tidak mendingin akhir pekan ini.
harap mendingin pekan,pergi pantai,baik. Saya harap itu tidak mendingin akhir pekan ini.,aku tahu. saya sangat ingin pergi ke pantai.
pergi pantai,cuaca california benarbenar diprediksi,aku tahu. saya sangat ingin pergi ke pantai.,tetapi Anda tahu bahwa cuaca california benar-benar tidak dapat diprediksi.
cuaca california benarbenar diprediksi,menit panas menit dingin,tetapi Anda tahu bahwa cuaca california benar-benar tidak dapat diprediksi.,"kamu benar. satu menit panas, dan menit berikutnya dingin."
menit panas menit dingin,benarbenar berharap cuacanya,"kamu benar. satu menit panas, dan menit berikutnya dingin.",Saya benar-benar berharap cuacanya akan tetap sama.
benarbenar berharap cuacanya,merencanakan aktivitas,Saya benar-benar berharap cuacanya akan tetap sama.,saya juga. dengan cara itu kita dapat merencanakan aktivitas kita sebelumnya.
merencanakan aktivitas,ya mudah,saya juga. dengan cara itu kita dapat merencanakan aktivitas kita sebelumnya.,"ya, itu akan membuat segalanya lebih mudah."
perjalanan pantai pekan,perjalanan pantai menyenangkan cuacanya,Saya ingin melakukan perjalanan ke pantai akhir pekan ini.,perjalanan ke pantai pasti menyenangkan. bagaimana cuacanya?
perjalanan pantai menyenangkan cuacanya,ramalan cuaca pekan hangat,perjalanan ke pantai pasti menyenangkan. bagaimana cuacanya?,ramalan cuaca mengatakan bahwa akhir pekan akan hangat.
ramalan cuaca pekan hangat,menurutmu cuaca cuaca sempurna pantai,ramalan cuaca mengatakan bahwa akhir pekan akan hangat.,jadi menurutmu cuaca akan menjadi cuaca yang sempurna untuk pantai?
menurutmu cuaca cuaca sempurna pantai,kedengarannya,jadi menurutmu cuaca akan menjadi cuaca yang sempurna untuk pantai?,kedengarannya seperti itu.
kedengarannya,berharap dingin,kedengarannya seperti itu.,Saya sangat berharap itu tidak dingin.
berharap dingin,merusak pergi,Saya sangat berharap itu tidak dingin.,"itu akan merusak banyak hal, aku sangat ingin pergi."
merusak pergi,cuaca california diprediksi,"itu akan merusak banyak hal, aku sangat ingin pergi.","cuaca di california tidak dapat diprediksi, jadi Anda tidak pernah tahu."
cuaca california diprediksi,cuaca berubah,"cuaca di california tidak dapat diprediksi, jadi Anda tidak pernah tahu.",itu benar. cuaca terus berubah.
cuaca berubah,alangkah baiknya cuaca berubah,itu benar. cuaca terus berubah.,alangkah baiknya jika cuaca tidak pernah berubah.
alangkah baiknya cuaca berubah,bagus merencanakan cepat,alangkah baiknya jika cuaca tidak pernah berubah.,"itu akan bagus, lalu kita bisa merencanakan sesuatu lebih cepat."
bagus merencanakan cepat,cuaca diprediksi hidup mudah,"itu akan bagus, lalu kita bisa merencanakan sesuatu lebih cepat.",benar. cuaca yang dapat diprediksi akan membuat hidup lebih mudah.
alangkah baiknya pergi pantai pekan,cuacanya pergi,alangkah baiknya pergi ke pantai sekitar akhir pekan ini.,akan seperti apa cuacanya? saya mungkin ingin pergi juga.
cuacanya pergi,cuaca pekan hangat,akan seperti apa cuacanya? saya mungkin ingin pergi juga.,cuaca akhir pekan ini seharusnya hangat.
cuaca pekan hangat,cuaca pantai bagus,cuaca akhir pekan ini seharusnya hangat.,apakah cuaca pantai akan bagus?
cuaca pantai bagus,pikir,apakah cuaca pantai akan bagus?,saya pikir itu akan terjadi.
pikir,pekan dingin,saya pikir itu akan terjadi.,tidak akan baik jika akhir pekan ini dingin.
pekan dingin,perjalanan sempurna semoga hangat,tidak akan baik jika akhir pekan ini dingin.,"Saya ingin perjalanan ini sempurna, semoga tetap hangat."
perjalanan sempurna semoga hangat,cuaca california,"Saya ingin perjalanan ini sempurna, semoga tetap hangat.","cuaca california ini sangat tidak pasti, tidak mungkin untuk mengetahui apa yang akan terjadi."
cuaca california,cuacanya berbeda,"cuaca california ini sangat tidak pasti, tidak mungkin untuk mengetahui apa yang akan terjadi.",aku tahu. setiap hari cuacanya tampak berbeda.
cuacanya berbeda,senang terduga,aku tahu. setiap hari cuacanya tampak berbeda.,Saya akan senang jika tidak selalu begitu tidak terduga.
senang terduga,memudahkan rencana,Saya akan senang jika tidak selalu begitu tidak terduga.,yang akan memudahkan kami membuat rencana.
halo berbicara alice,kabarmu,"halo, bolehkah saya berbicara dengan alice?",ini dia. bagaimana kabarmu?
kabarmu,mencoba menelepon,ini dia. bagaimana kabarmu?,Saya telah mencoba menelepon Anda sepanjang hari.
mencoba menelepon,maaf membersihkan,Saya telah mencoba menelepon Anda sepanjang hari.,maaf soal itu. saya sedang membersihkan.
maaf membersihkan,,maaf soal itu. saya sedang membersihkan.,tidak masalah.
,panggil,tidak masalah.,jadi apa yang kamu panggil aku tentang?
panggil,oh nongkrong besok,jadi apa yang kamu panggil aku tentang?,"oh, aku hanya ingin melihat apakah kamu ingin nongkrong besok."
oh nongkrong besok,lakukan,"oh, aku hanya ingin melihat apakah kamu ingin nongkrong besok.","tentu, apa yang ingin kamu lakukan?"
lakukan,pergi nonton film semacamnya,"tentu, apa yang ingin kamu lakukan?",mungkin kita bisa pergi nonton film atau semacamnya.
pergi nonton film semacamnya,terdengar menyenangkan ayo lakukan,mungkin kita bisa pergi nonton film atau semacamnya.,itu terdengar menyenangkan. Ayo lakukan.
terdengar menyenangkan ayo lakukan,jumpa besok,itu terdengar menyenangkan. Ayo lakukan.,sampai jumpa besok.
jumpa besok,jumpa selamat tinggal,sampai jumpa besok.,sampai jumpa. Selamat tinggal.
hai kabar alice disana,berbicara,Hai apa kabar. apakah alice disana?,berbicara. ada apa?
berbicara,teleponnya,berbicara. ada apa?,kenapa kamu tidak menjawab teleponnya?
teleponnya,buruk tugas,kenapa kamu tidak menjawab teleponnya?,"saya buruk, saya punya tugas yang harus dilakukan."
buruk tugas,apaapa,"saya buruk, saya punya tugas yang harus dilakukan.",tidak apa-apa.
apaapa,alasan menelepon,tidak apa-apa.,apa alasan Anda menelepon?
alasan menelepon,besok denganmu,apa alasan Anda menelepon?,aku ingin melakukan sesuatu besok denganmu.
besok denganmu,kedengarannya bagus pikirkan,aku ingin melakukan sesuatu besok denganmu.,kedengarannya bagus. apa yang kamu pikirkan?
kedengarannya bagus pikirkan,berpikir film,kedengarannya bagus. apa yang kamu pikirkan?,saya sedang berpikir untuk melihat film.
berpikir film,oke ayo nonton film,saya sedang berpikir untuk melihat film.,"oke, ayo kita nonton film."
oke ayo nonton film,,"oke, ayo kita nonton film.",sampai saat itu.
,bicara denganmu,sampai saat itu.,bicara denganmu nanti.
alice tersedia,berbicara dengannya,apakah alice tersedia?,Anda sedang berbicara dengannya.
berbicara dengannya,menelepon ratusan kali,Anda sedang berbicara dengannya.,Saya telah menelepon Anda ratusan kali hari ini.
menelepon ratusan kali,sibuk maaf,Saya telah menelepon Anda ratusan kali hari ini.,saya sedang sibuk melakukan sesuatu. saya minta maaf.
sibuk maaf,,saya sedang sibuk melakukan sesuatu. saya minta maaf.,tidak masalah.
,membutuhkan,tidak masalah.,apakah kamu membutuhkan sesuatu?
membutuhkan,besok,apakah kamu membutuhkan sesuatu?,apakah kamu ingin melakukan sesuatu besok?
besok,khusus tuju,apakah kamu ingin melakukan sesuatu besok?,apakah ada tempat khusus yang ingin kamu tuju?
khusus tuju,film,apakah ada tempat khusus yang ingin kamu tuju?,bagaimana dengan film?
film,film terdengar bagus,bagaimana dengan film?,film terdengar bagus.
film terdengar bagus,telepon besok,film terdengar bagus.,telepon aku besok.
pernahkah gadis sekolah,,pernahkah kamu melihat gadis baru di sekolah?,"tidak, saya belum."
,cantik,"tidak, saya belum.",dia sangat cantik.
cantik,gambarkan padaku,dia sangat cantik.,gambarkan dia padaku.
gambarkan padaku,,gambarkan dia padaku.,dia tidak terlalu tinggi.
,,dia tidak terlalu tinggi.,"nah, berapa tinggi dia?"
,tingginya kaki,"nah, berapa tinggi dia?",tingginya sekitar lima kaki.
tingginya kaki,,tingginya sekitar lima kaki.,Tapi seperti apa dia?
,memiliki mata coklat muda cantik,Tapi seperti apa dia?,dia memiliki mata coklat muda yang cantik.
memiliki mata coklat muda cantik,gadis bicarakan,dia memiliki mata coklat muda yang cantik.,Saya mungkin tahu gadis mana yang Anda bicarakan.
gadis bicarakan,,Saya mungkin tahu gadis mana yang Anda bicarakan.,jadi kamu telah melihatnya di sekitar?
,ya,jadi kamu telah melihatnya di sekitar?,ya saya punya.
gadis sekolah,,"ada gadis baru di sekolah, apakah kamu sudah melihatnya?",saya belum melihatnya.
,pikir cantik,saya belum melihatnya.,Saya pikir dia sangat cantik.
pikir cantik,ceritakan penampilannya,Saya pikir dia sangat cantik.,ceritakan bagaimana penampilannya.
ceritakan penampilannya,pendek,ceritakan bagaimana penampilannya.,dia agak pendek.
pendek,,dia agak pendek.,tinggi berapa dia?
,kaki,tinggi berapa dia?,dia mungkin sekitar lima kaki.
kaki,bagus padaku,dia mungkin sekitar lima kaki.,"itu bagus, tapi katakan padaku seperti apa dia."
bagus padaku,perhatikan mata cokelatnya indah,"itu bagus, tapi katakan padaku seperti apa dia.",hal pertama yang saya perhatikan adalah mata cokelatnya yang indah.
perhatikan mata cokelatnya indah,pikir bertemu dengannya,hal pertama yang saya perhatikan adalah mata cokelatnya yang indah.,Saya pikir saya mungkin pernah bertemu dengannya sebelumnya.
pikir bertemu dengannya,,Saya pikir saya mungkin pernah bertemu dengannya sebelumnya.,apakah Anda memberi tahu saya bahwa Anda pernah melihatnya sebelumnya?
,,apakah Anda memberi tahu saya bahwa Anda pernah melihatnya sebelumnya?,saya yakin begitu.
bertemu gadis,,sudahkah kamu bertemu gadis baru?,tidak. sudahkah kamu
,salah gadis tercantik sekolah,tidak. sudahkah kamu,dia salah satu gadis tercantik di sekolah.
salah gadis tercantik sekolah,,dia salah satu gadis tercantik di sekolah.,Dia terlihat seperti apa?
,yah pendek,Dia terlihat seperti apa?,"yah, dia cukup pendek."
yah pendek,menurutmu,"yah, dia cukup pendek.",seberapa tinggi menurutmu dia?
menurutmu,kaki,seberapa tinggi menurutmu dia?,saya akan mengatakan dia hanya lima kaki.
kaki,fitur wajahnya,saya akan mengatakan dia hanya lima kaki.,bagaimana dengan fitur wajahnya?
fitur wajahnya,memiliki mata coklat muda cantik,bagaimana dengan fitur wajahnya?,"dia memiliki mata coklat muda, sangat cantik."
memiliki mata coklat muda cantik,bicarakan,"dia memiliki mata coklat muda, sangat cantik.",Saya rasa saya tahu siapa yang Anda bicarakan.
bicarakan,,Saya rasa saya tahu siapa yang Anda bicarakan.,apakah kamu pernah melihatnya?
sekolah kemarin,enak badan,kenapa kamu tidak di sekolah kemarin?,Saya merasa tidak enak badan.
enak badan,salah denganmu,Saya merasa tidak enak badan.,apa yang salah denganmu?
salah denganmu,perut mual,apa yang salah denganmu?,perut saya mual.
perut mual,,perut saya mual.,Apakah Anda merasa lebih baik sekarang?
,sehat,Apakah Anda merasa lebih baik sekarang?,Saya belum merasa terlalu sehat.
sehat,,Saya belum merasa terlalu sehat.,Apakah Anda ingin sesuatu yang membuat Anda merasa lebih baik?
,terima kasih minum obat,Apakah Anda ingin sesuatu yang membuat Anda merasa lebih baik?,"tidak, terima kasih. saya sudah minum obat."
terima kasih minum obat,harap,"tidak, terima kasih. saya sudah minum obat.",saya harap Anda merasa lebih baik.
harap,terima kasih,saya harap Anda merasa lebih baik.,Terima kasih.
alasanmu bolos sekolah,sakit,apa alasanmu bolos sekolah?,saya sakit.
sakit,sakit,saya sakit.,bagaimana kamu sakit?
sakit,sakit perut,bagaimana kamu sakit?,saya sakit perut.
sakit perut,,saya sakit perut.,apakah itu menjadi lebih baik?
,enak badan,apakah itu menjadi lebih baik?,aku masih merasa tidak enak badan.
enak badan,perutmu,aku masih merasa tidak enak badan.,apa kamu mau sesuatu untuk perutmu?
perutmu,mengambil,apa kamu mau sesuatu untuk perutmu?,saya mengambil sesuatu sebelumnya.
mengambil,,saya mengambil sesuatu sebelumnya.,lebih baik.
,terima kasih,lebih baik.,Terima kasih banyak.
pergi sekolah kemarin,tinggal rumah enak badan,kenapa kamu tidak pergi ke sekolah kemarin?,saya tinggal di rumah karena saya merasa tidak enak badan.
tinggal rumah enak badan,masalahmu,saya tinggal di rumah karena saya merasa tidak enak badan.,apa masalahmu
masalahmu,perut mengganggu,apa masalahmu,perut saya mengganggu saya.
perut mengganggu,,perut saya mengganggu saya.,apakah kamu merasa lebih baik?
,mual,apakah kamu merasa lebih baik?,aku masih merasa sedikit mual.
mual,pergi toko pepto bismol,aku masih merasa sedikit mual.,"Saya akan pergi ke toko, apakah Anda mau pepto bismol?"
pergi toko pepto bismol,apaapa,"Saya akan pergi ke toko, apakah Anda mau pepto bismol?",tidak apa-apa.
apaapa,harap,tidak apa-apa.,saya harap Anda merasa lebih baik.
mendengar kabar,,apakah kamu mendengar kabar baik?,"tidak, saya belum."
,promosi pekerjaan,"tidak, saya belum.",saya mendapat promosi di pekerjaan saya.
promosi pekerjaan,,saya mendapat promosi di pekerjaan saya.,benarkah kamu?
,serius bersemangat,benarkah kamu?,"serius, saya sangat bersemangat."
serius bersemangat,selamat,"serius, saya sangat bersemangat.",selamat.
selamat,terima kasih,selamat.,Terima kasih.
terima kasih,berbahagia,Terima kasih.,Saya turut berbahagia untuk anda.
berbahagia,,Saya turut berbahagia untuk anda.,Betulkah?
,iya benarbenar,Betulkah?,Iya. kamu benar-benar pantas mendapatkan ini.
iya benarbenar,kau pikir,Iya. kamu benar-benar pantas mendapatkan ini.,kau pikir begitu?
kau pikir,iya bagus untukmu,kau pikir begitu?,Iya. bagus untukmu.
mendengar kabar baikku,memberitahuku apaapa,apakah kamu sudah mendengar kabar baikku?,kamu belum memberitahuku apa-apa.
memberitahuku apaapa,promosi kerja minggu,kamu belum memberitahuku apa-apa.,Saya mendapat promosi di tempat kerja awal minggu ini.
promosi kerja minggu,,Saya mendapat promosi di tempat kerja awal minggu ini.,Apakah itu benar?
,kebenaran senang,Apakah itu benar?,itu kebenaran. saya sangat senang.
kebenaran senang,selamat promosimu,itu kebenaran. saya sangat senang.,selamat atas promosimu.
selamat promosimu,terima kasih,selamat atas promosimu.,Terima kasih banyak.
terima kasih,senang,Terima kasih banyak.,Saya sangat senang untuk Anda.
senang,benarbenar,Saya sangat senang untuk Anda.,apakah kamu benar-benar
benarbenar,serius berhak promosi,apakah kamu benar-benar,aku serius. Anda berhak mendapatkan promosi ini.
serius berhak promosi,pikirkan,aku serius. Anda berhak mendapatkan promosi ini.,apakah itu yang kamu pikirkan?
pikirkan,ya,apakah itu yang kamu pikirkan?,"ya, benar."
memberitahumu,mendengar apaapa,"aku belum memberitahumu apa yang terjadi, bukan?",saya belum mendengar apa-apa.
mendengar apaapa,bos menawari promosi menerimanya,saya belum mendengar apa-apa.,"bos saya menawari saya promosi, dan saya menerimanya."
bos menawari promosi menerimanya,serius,"bos saya menawari saya promosi, dan saya menerimanya.",Apakah kamu serius?
serius,ya senang,Apakah kamu serius?,"ya, saya sangat senang."
ya senang,keren selamat,"ya, saya sangat senang.",itu keren. Selamat.
keren selamat,menghargai,itu keren. Selamat.,Saya menghargai itu.
menghargai,betapa bahagianya,Saya menghargai itu.,Anda tidak tahu betapa bahagianya saya untuk Anda.
betapa bahagianya,nyata,Anda tidak tahu betapa bahagianya saya untuk Anda.,nyata?
,terima kasih pakaian,kamu terlihat sangat baik hari ini. ,Terima kasih. Saya baru saja mendapatkan pakaian ini beberapa hari yang lalu.
terima kasih pakaian,sungguh darimana mendapatkannya,Terima kasih. Saya baru saja mendapatkan pakaian ini beberapa hari yang lalu.,"Sungguh, darimana kamu mendapatkannya?"
sungguh darimana mendapatkannya,mendapatkannya macys,"Sungguh, darimana kamu mendapatkannya?",saya mendapatkannya dari macy's.
mendapatkannya macys,bagus,saya mendapatkannya dari macy's.,ini sangat bagus.
bagus,terima kasih cantik,ini sangat bagus.,Terima kasih lagi. kamu juga terlihat cantik hari ini.
terima kasih cantik,terima kasih sepatu,Terima kasih lagi. kamu juga terlihat cantik hari ini.,Terima kasih. Saya baru saja mendapatkan sepatu ini hari ini.
terima kasih sepatu,jenis sepatu,Terima kasih. Saya baru saja mendapatkan sepatu ini hari ini.,Betulkah? jenis sepatu apa itu?
